SrNo,Health Facility Name,Address,street,landmark,locality,pincode,landline_number,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Block_Name
111005,Delhi Cantt Base Hospital (Army),,,,,,,0,0,0,District Hospital,Delhi,New Delhi,Delhi Cantonment,\N
111062,Area-2,,,,,,,0,0,0,SubCentre,Delhi,North,Model Town,\N
111063,Area-5 (070600105),,,,,,,0,0,0,SubCentre,Delhi,Central,Kotwali,\N
111079,Area-7 (070605903),,,,,,,0,0,0,SubCentre,Delhi,Central,Civil Lines,\N
111178,Area-C,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
111226,Area- C,,,,,,,0,0,0,SubCentre,Delhi,North,Narela,\N
111230,Area-C,,,,,,,0,0,0,SubCentre,Delhi,South East,Sarita Vihar,\N
111279,Area-C,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
111281,Area-5,,,,,,,0,0,0,SubCentre,Delhi,East,Gandhi Nagar,\N
111420,Area-5,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
111543,Area-4,,,,,,,0,0,0,SubCentre,Delhi,North-East,Karawal Nagar,\N
111605,Area-1,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
111619,Area-C,,,,,,,0,0,0,SubCentre,Delhi,Central,Kotwali,\N
111632,DGD Nawada,Vill & Post Nawada,Near MCD PRI School Nawada,(near Nawada Metro Station),nawada,110059,1125372489,28.62,77.04,0,Dispensaries,Delhi,West,Patel Nagar,\N
111752,MCW Babarpur,,,,babarpur,110032,22823075,28.68413644,77.28295254,0,M&CW Center,Delhi,Shahdara,Shahdara,\N
111802,Area-4,,,,,,,0,0,0,SubCentre,Delhi,North,Model Town,\N
111819,Area-1,,,,,,,0,0,0,SubCentre,Delhi,Shahdara,Shahdara,\N
111903,Area-1,,,,,,,0,0,0,SubCentre,Delhi,West,Patel Nagar,\N
111943,DGD Gali Guliyan,Delhi Govt. Dispesnary,Paiwalan,Jamamasjid,Daryaganj,110006,23243340,28.65284861,77.23386527,0,Dispensaries,Delhi,Central,Kotwali,\N
111995,Area-2,,,,,,,0,0,0,SubCentre,Delhi,North,Model Town,\N
112099,Area-1,,,,,,,0,0,0,SubCentre,Delhi,North,Model Town,\N
112139,Area-10,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
112150,DGD Kamla Nagar,,,,,,,0,0,0,Dispensaries,Delhi,Central,Civil Lines,\N
112191,Area-3,,,,,,,0,0,0,SubCentre,Delhi,Central,Kotwali,\N
112235,DGD Suiwalan,Delhi Govt. Dispensary,758 gali-Walkil Wali,gali Wakil wali,Daryaganj,,23243145,28.645082,77.235334,0,Dispensaries,Delhi,Central,Kotwali,\N
112238,DGD Nand Nagri Ext.,Block F-2,Sunder Nagari,,NAND NAGARI,110093,22582659,28.69489461,77.32040225,0,Dispensaries,Delhi,Shahdara,Seema Puri,\N
112259,Area-1,,,,,,,0,0,0,SubCentre,Delhi,East,Gandhi Nagar,\N
112364,MCW Karala,Dr Shaib Singh Verma Polyclinic,Village Karala,Near Govt School,,110081,,28.731552,77.031983,0,M&CW Center,Delhi,North West,Kanjhawla,\N
112389,Area-1,,,,,,,0,0,0,SubCentre,Delhi,East,Gandhi Nagar,\N
112392,Area-3,,,,,,,0,0,0,SubCentre,Delhi,South,Hauz Khas,\N
112430,Area-3,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
112494,DGD Chattarpur,DGD Chattarpur,"Chatterpur ,Village New Delhi 110030",,91,110030,011-268010602,28.497944,77.183166,0,Dispensaries,Delhi,South,Saket,\N
